date,name,cik,variable,value
1999-03-25,Lumen Technologies,18926.0,added_ticker,LUMN
1999-05-03,CMS Energy,811156.0,added_ticker,CMS
1999-05-28,AFLAC Inc,4977.0,added_ticker,AFL
1999-06-25,NetApp,1002047.0,added_ticker,NTAP
1999-06-29,Best Buy Co. Inc.,764478.0,added_ticker,BBY
1999-06-30,Vulcan Materials,1396009.0,added_ticker,VMC
1999-10-12,"Analog Devices, Inc.",6281.0,added_ticker,ADI
1999-11-08,Xilinx,743988.0,added_ticker,XLNX
1999-12-01,Citrix Systems,877890.0,added_ticker,CTXS
1999-12-07,Laidlaw,,removed_ticker,LDW
1999-12-07,Yahoo!,,added_ticker,YHOO
2000-06-05,Agilent Technologies Inc,1090872.0,added_ticker,A
2000-06-21,Tiffany & Co.,98246.0,added_ticker,TIF
2000-07-27,RiteAid,,removed_ticker,RAD
2000-07-27,JDS Uniphase,,added_ticker,JDSU
2000-08-30,Devon Energy,1090012.0,added_ticker,DVN
2000-11-02,EOG Resources,821189.0,added_ticker,EOG
2000-12-05,Allegheny Energy,,added_ticker,AYE
2000-12-05,Crown Holdings,,removed_ticker,CCK
2000-12-05,W.R. Grace,,removed_ticker,GRA
2000-12-05,Symbol Technologies,,added_ticker,SBL
2000-12-05,Owens-Illinois,,removed_ticker,OI
2000-12-05,Bethlehem Steel,,removed_ticker,BS
2000-12-05,Robert Half International,315213.0,added_ticker,RHI
2000-12-05,Ambac Financial,,added_ticker,ABK
2000-12-05,Intuit Inc.,896878.0,added_ticker,INTU
2000-12-12,Stryker Corp.,310764.0,added_ticker,SYK
2001-03-01,Cintas Corporation,723254.0,added_ticker,CTAS
2001-04-02,Fiserv Inc,798354.0,added_ticker,FISV
2001-06-22,Zions Bancorp,109380.0,added_ticker,ZION
2001-08-07,Zimmer Biomet Holdings,1136869.0,added_ticker,ZBH
2001-08-30,AmerisourceBergen Corp,1140859.0,added_ticker,ABC
2001-11-30,Nvidia Corporation,1045810.0,added_ticker,NVDA
2001-12-03,Equity Residential,906107.0,added_ticker,EQR
2002-06-26,Simon Property Group Inc,1063761.0,added_ticker,SPG
2002-07-22,Prudential Financial,1137774.0,added_ticker,PRU
2002-07-22,Goldman Sachs Group,886982.0,added_ticker,GS
2002-07-22,United Parcel Service,1090727.0,added_ticker,UPS
2002-07-22,Electronic Arts,712515.0,added_ticker,EA
2002-07-22,Principal Financial Group,1126328.0,added_ticker,PFG
2002-07-25,Anthem,1156039.0,added_ticker,ANTM
